Address,mac address,interface
1.1.1.3,64a0.e7b3.d800,Vlan949
1.1.8.1,64a0.e7b3.d800,GigabitEthernet1/4/38
1.1.8.4,e4c2.d1eb.53d0,GigabitEthernet1/4/38
1.1.8.5,e4c2.d1eb.53c0,GigabitEthernet1/4/38
1.1.8.6,0000.5e00.0127,GigabitEthernet1/4/38
1.50.0.17,64a0.e7b3.d800,Vlan205
1.50.0.25,64a0.e7b3.d800,Vlan23
1.50.0.26,0000.0c07.ac32,Vlan23
1.50.0.27,7001.b503.3831,Vlan23
1.50.0.28,501c.b02d.cb01,Vlan23
1.51.0.10,64a0.e7b3.d800,GigabitEthernet2/4/11
10.10.1.0,bc16.6505.b8e1,Vlan202
10.10.1.1,bc16.6505.b8e1,Vlan202
10.10.1.2,bc16.6505.b8e1,Vlan202
10.10.1.4,bc16.6505.b8e1,Vlan202
10.10.1.5,bc16.6505.b8e1,Vlan202
10.10.1.8,bc16.6505.b8e1,Vlan202
10.10.1.9,bc16.6505.b8e1,Vlan202
10.10.1.11,bc16.6505.b8e1,Vlan202
10.10.1.12,bc16.6505.b8e1,Vlan202
10.10.1.13,bc16.6505.b8e1,Vlan202
10.10.1.14,bc16.6505.b8e1,Vlan202
10.10.1.15,bc16.6505.b8e1,Vlan202
10.10.1.16,bc16.6505.b8e1,Vlan202
10.10.1.17,bc16.6505.b8e1,Vlan202
10.10.1.20,bc16.6505.b8e1,Vlan202
10.10.1.21,bc16.6505.b8e1,Vlan202
10.10.1.24,bc16.6505.b8e1,Vlan202
10.10.1.26,bc16.6505.b8e1,Vlan202
10.10.1.30,bc16.6505.b8e1,Vlan202
10.10.1.32,bc16.6505.b8e1,Vlan202
10.10.1.40,bc16.6505.b8e1,Vlan202
10.10.1.41,bc16.6505.b8e1,Vlan202
10.10.1.42,bc16.6505.b8e1,Vlan202
10.10.1.46,bc16.6505.b8e1,Vlan202
10.10.1.47,bc16.6505.b8e1,Vlan202
10.10.1.56,bc16.6505.b8e1,Vlan202
10.10.1.63,bc16.6505.b8e1,Vlan202
10.10.1.65,bc16.6505.b8e1,Vlan202
10.10.1.67,bc16.6505.b8e1,Vlan202
10.10.1.79,bc16.6505.b8e1,Vlan202
10.10.1.82,bc16.6505.b8e1,Vlan202
10.10.1.84,bc16.6505.b8e1,Vlan202
10.10.1.85,bc16.6505.b8e1,Vlan202
10.10.1.87,bc16.6505.b8e1,Vlan202
10.10.1.99,bc16.6505.b8e1,Vlan202
10.10.1.104,bc16.6505.b8e1,Vlan202
10.10.1.106,bc16.6505.b8e1,Vlan202
10.10.1.109,bc16.6505.b8e1,Vlan202
10.10.1.114,bc16.6505.b8e1,Vlan202
10.10.1.122,bc16.6505.b8e1,Vlan202
10.10.1.123,bc16.6505.b8e1,Vlan202
10.10.1.129,bc16.6505.b8e1,Vlan202
10.10.1.132,e200.0094.9004,Vlan202
10.10.1.134,0050.569f.7bb3,Vlan202
10.10.1.199,0050.569f.1d86,Vlan202
10.10.1.200,0050.569f.1b96,Vlan202
10.10.1.201,0050.569f.6add,Vlan202
10.10.1.202,0050.569f.257d,Vlan202
10.10.1.203,0050.569f.5522,Vlan202
10.10.1.204,0050.569f.6076,Vlan202
10.10.1.205,0050.569f.128e,Vlan202
10.10.1.206,0050.569f.4dc1,Vlan202
10.10.1.207,0050.569f.55f4,Vlan202
10.10.1.208,0050.569f.5bf2,Vlan202
10.10.1.209,0050.569f.5318,Vlan202
10.10.1.210,0050.569f.5b3b,Vlan202
10.10.1.211,0050.569f.509f,Vlan202
10.10.1.212,0050.569f.099d,Vlan202
10.10.1.213,0050.569f.3880,Vlan202
10.10.1.214,0050.569f.0c7f,Vlan202
10.10.1.216,0050.569f.5fac,Vlan202
10.10.1.218,0050.569f.1c88,Vlan202
10.10.1.219,0050.569f.726b,Vlan202
10.10.1.220,0050.569f.7e17,Vlan202
10.10.1.221,0050.569f.51cb,Vlan202
10.10.1.222,0050.569f.31a6,Vlan202
10.10.1.223,0050.569f.57b4,Vlan202
10.10.1.224,0050.569f.5cb6,Vlan202
10.10.1.225,0050.569f.2e80,Vlan202
10.10.1.226,0050.569f.46c3,Vlan202
10.10.1.227,0050.569f.1e0a,Vlan202
10.10.1.228,0050.569f.5ef1,Vlan202
10.10.1.229,0050.569f.1166,Vlan202
10.10.1.252,0050.569f.13fd,Vlan202
10.10.1.254,64a0.e7b3.d800,Vlan202
10.110.0.1,0062.ecb5.7b01,GigabitEthernet1/3/9
10.110.0.2,64a0.e7b3.d800,GigabitEthernet1/3/9
10.110.0.12,0050.569f.1411,Vlan201
10.110.0.13,0050.569f.47ce,Vlan201
10.110.0.14,64a0.e7b3.d800,Vlan201
10.110.0.17,64a0.e7b3.d800,Vlan203
10.110.0.25,848f.69e8.38e2,Vlan1102
10.110.0.26,848f.69e7.e18c,Vlan1102
10.110.0.29,64a0.e7b3.d800,Vlan1102
10.110.0.33,64a0.e7b3.d800,Vlan204
10.110.0.34,0000.0c07.ac01,Vlan204
10.110.0.35,6cab.0521.00d0,Vlan204
10.110.0.36,6cab.0521.1fc0,Vlan204
10.110.0.38,00c1.b182.b1da,
10.110.0.39,001b.1700.0132,Vlan204
10.110.0.49,64a0.e7b3.d800,Vlan1101
10.110.0.50,001b.1700.0230,Vlan1101
10.110.0.57,001b.1700.0132,Vlan1200
10.110.0.62,64a0.e7b3.d800,Vlan1200
10.110.1.1,64a0.e7b3.d800,Vlan400
10.110.1.55,78da.6e62.ecff,Vlan400
10.110.1.57,70ca.9b01.16c1,Vlan400
10.110.1.58,0026.cba4.b17f,Vlan400
10.110.1.59,00a3.d167.82d2,Vlan400
10.110.1.60,Incomplete,
10.110.1.61,Incomplete,
10.110.1.62,b40c.25e1.0011,Vlan400
10.110.1.64,7499.75e4.6100,Vlan400
10.110.1.65,7499.75e4.6900,Vlan400
10.110.1.90,d4f4.bec3.7d3f,Vlan400
10.110.1.91,d4f4.bec3.78a7,Vlan400
10.110.1.92,240b.0a01.b576,Vlan400
10.110.1.93,240b.0a00.c55a,Vlan400
10.110.1.94,240b.0a00.a9fa,Vlan400
10.110.1.95,240b.0a00.c552,Vlan400
10.110.3.13,0050.569f.4907,Vlan503
10.110.3.22,0050.569f.2edc,Vlan503
10.110.3.32,0050.569f.1a37,Vlan503
10.110.3.46,0050.569f.3720,Vlan503
10.110.3.55,0050.569f.35ac,Vlan503
10.110.3.60,0050.569f.500a,Vlan503
10.110.3.74,0050.569f.7580,Vlan503
10.110.3.79,0050.569f.3a27,Vlan503
10.110.3.94,0050.569f.4910,Vlan503
10.110.3.97,0050.569f.35ac,Vlan503
10.110.3.119,0050.569f.0604,Vlan503
10.110.3.125,0050.569f.652a,Vlan503
10.110.3.137,0050.569f.6ca6,Vlan503
10.110.3.138,0050.569f.37b0,Vlan503
10.110.3.141,0050.569f.62cb,Vlan503
10.110.3.144,0050.569f.26b5,Vlan503
10.110.3.151,0050.569f.7c1c,Vlan503
10.110.3.152,0050.569f.7bba,Vlan503
10.110.3.162,0050.569f.50b0,Vlan503
10.110.3.169,0050.569f.3aee,Vlan503
10.110.3.170,0050.569f.37c2,Vlan503
10.110.3.189,0050.569f.77e2,Vlan503
10.110.3.190,0050.569f.4f8c,Vlan503
10.110.3.200,0050.569f.6f8d,Vlan503
10.110.3.201,0050.569f.5170,Vlan503
10.110.3.202,0050.569f.54fd,Vlan503
10.110.3.205,0050.569f.22c8,Vlan503
10.110.3.215,0050.569f.62cb,Vlan503
10.110.3.216,0050.569f.3d7d,Vlan503
10.110.3.222,0050.569f.500c,Vlan503
10.110.3.223,0050.569f.68cf,Vlan503
10.110.3.225,0050.569f.304d,Vlan503
10.110.3.227,0050.569f.0ac9,Vlan503
10.110.3.228,0050.569f.32ad,Vlan503
10.110.3.237,0050.569f.7580,Vlan503
10.110.3.239,0050.569f.500a,Vlan503
10.110.3.240,0050.569f.1429,Vlan503
10.110.3.241,0050.569f.2c84,Vlan503
10.110.3.247,0050.569f.6839,Vlan503
10.110.3.248,0050.569f.7110,Vlan503
10.110.3.249,0050.569f.382c,Vlan503
10.110.3.253,64a0.e7b3.d800,Vlan503
10.110.3.254,b40c.25e1.0011,Vlan503
10.110.4.1,5cf3.fc5f.f491,Vlan504
10.110.4.2,6cae.8b2e.364d,Vlan504
10.110.4.3,3440.b5bf.c8d5,Vlan504
10.110.4.4,6cae.8b2e.37a9,Vlan504
10.110.4.5,3440.b5bf.c771,Vlan504
10.110.4.6,6cae.8b2e.9b61,Vlan504
10.110.4.7,6cae.8b2b.7f7d,Vlan504
10.110.4.8,6cae.8b2e.37b9,Vlan504
10.110.4.9,6cae.8b2b.d291,Vlan504
10.110.4.10,6cae.8b2e.9541,Vlan504
10.110.4.11,6cae.8b2b.d539,Vlan504
10.110.4.15,6cae.8b2b.d3c9,Vlan504
10.110.4.16,6cae.8b2e.9871,Vlan504
10.110.4.17,6cae.8b2b.d1f1,Vlan504
10.110.4.18,6cae.8b2e.3905,Vlan504
10.110.4.19,6cae.8b2b.d335,Vlan504
10.110.4.20,6cae.8b2e.79e5,Vlan504
10.110.4.21,6cae.8b2e.93b1,Vlan504
10.110.4.22,6cae.8b2e.98d1,Vlan504
10.110.4.23,6cae.8b2b.d301,Vlan504
