interface_mac_table,vlan,mac address,address,description,interface
,----+----+---------------+-------+-----+----------+-----------------------------,, , , 
Po18,504,0050.569f.7353, , , 
Po18,506,0050.569f.7bb9, , , 
Po3,504,3440.b5a7.0717, , , 
Po18,510,0050.569f.2e64, , , 
Po18,506,0050.569f.2eb4, , , 
Po18,508,0050.569f.2686, , , 
Po18,504,0050.569f.624b, , , 
Po18,510,0050.569f.4842, , , 
Po18,514,0050.569f.2703, , , 
Router,509,64a0.e7b3.d800, , , 
Po33,511,0050.569f.7f31, , , 
Po3,504,50eb.1ab5.1658, , , 
Po18,514,0050.569f.6300, , , 
Po18,507,0050.569f.5dfe, , , 
Router,523,64a0.e7b3.d800, , , 
Po12,884,b40c.25e1.0011, , , 
Po18,508,0050.569f.26d1, , , 
Po18,510,0050.569f.6a22, , , 
Po33,511,0050.569f.2a4b, , , 
Router,4,64a0.e7b3.d800, , , 
Po18,508,0050.569f.37cf, , , 
Po18,506,0050.569f.59e9, , , 
Po37,911,001b.1700.0131, , , 
Po18,510,0050.569f.5904, , , 
Po18,504,6cae.8b2f.0d90, , , 
Po33,40,0050.569f.432f, , , 
Po18,508,0050.569f.73fd, , , 
Po10,468,b40c.25e1.0010, , , 
Po33,400,78da.6e62.ecff, , , 
Po18,503,0050.569f.3a27, , , 
Po18,202,0050.569f.1e0a, , , 
Gi1/4/35,504,6805.ca19.5d90, , , 
Po18,507,0050.569f.6e55, , , 
Po35,303,001b.1700.0132, , , 
Po18,2,0050.569f.082c, , , 
Router,580,64a0.e7b3.d800, , , 
Po18,504,6cae.8b2a.2bf1, , , 
Po18,510,0050.569f.48de, , , 
Po18,508,0050.569f.2627, , , 
Po3,800,000b.abab.1a9b, , , 
Po18,201,0050.569f.47ce, , , 
Po18,510,0050.569f.6aa5, , , 
Po18,508,0050.569f.155c, , , 
Po33,511,0050.569f.6edc, , , 
Po18,510,0050.569f.3fad, , , 
Gi1/4/39,504,6805.ca14.e9e9, , , 
Po18,506,0050.569f.1d7d, , , 
Gi2/3/11,504,f415.6365.4201, , , 
Po18,145,0050.569f.0c7a, , , 
Router,505,64a0.e7b3.d800, , , 
Po3,504,6cae.8b2e.9541, , , 
Po39,911,0050.56bf.22f8, , , 
Po18,510,0050.569f.2f65, , , 
Gi1/3/25,2,000e.b6bc.8e14, , , 
Po18,506,0050.569f.7aa4, , , 
Po18,510,0050.569f.7a6f, , , 
Po18,508,0050.569f.2795, , , 
Po18,2,0050.569f.6fa5, , , 
Po18,506,0050.569f.7ab5, , , 
Gi1/3/22,400,240b.0a01.b576, , , 
Po18,504,0050.569f.506e, , , 
Router,8,64a0.e7b3.d800, , , 
Po33,511,0050.569f.3a3d, , , 
Po18,508,0050.569f.14b1, , , 
Po18,514,0050.569f.511b, , , 
Po40,80,001b.1700.0330, , , 
Po18,506,0050.569f.6b92, , , 
Po18,510,0050.569f.1c28, , , 
Po18,510,0050.569f.492b, , , 
Po18,514,0050.569f.0463, , , 
Po3,510,000b.abab.1a9a, , , 
Po18,510,0050.569f.7a19, , , 
Po18,514,0050.569f.045a, , , 
Router,949,64a0.e7b3.d800, , , 
Po18,507,0050.569f.6fad, , , 
Po33,511,0050.569f.2b60, , , 
Po18,504,0050.569f.723e, , , 
Po18,202,0050.569f.5bf2, , , 
Po18,504,0050.569f.723b, , , 
Po18,507,0050.569f.6f51, , , 
Po18,514,0050.569f.73a5, , , 
Po18,514,0050.569f.37ba, , , 
Po3,504,3440.b5bf.c771, , , 
Router,515,64a0.e7b3.d800, , , 
Router,300,64a0.e7b3.d800, , , 
Po18,510,0050.569f.3ee7, , , 
Po18,514,0050.569f.15a5, , , 
Po18,506,0050.569f.493e, , , 
Po18,504,0050.5664.d237, , , 
Po3,504,000e.1116.1c11, , , 
Po18,508,0050.569f.633b, , , 
Po3,504,74fe.4808.f1e1, , , 
Po18,202,0050.569f.5b3b, , , 
Po18,510,0050.569f.3ed6, , , 
Po18,510,0050.569f.1cab, , , 
