Interface,Description
Gi1/1,STP_A
Gi1/2,STP_B
Gi1/3,VPN 3030 A PD.
Gi1/4,RolloBox
Gi1/5,HLR/MSC3
Gi1/6,JUN_TLA_A
Gi1/7,R4 SF V890 NIC Interface 0 - ce0
Gi1/8,R4 SF V890 NIC Interface 0 - ce1
Gi1/9,R4 SF V890 NIC Interface 0 - ce2
Gi1/10,R4 Switch  BSTK_470-24T
Gi1/11,AlarmaP1
Gi1/12,Xyplex
Gi1/13,new_STP_A_27_3
Gi1/14,VCM
Gi1/15,Conexion a TELCEL-NEXTENGO
Gi1/16,Tellamon
Gi1/17,TO IT VSS1 PTO 1/1/14 (inside FWSM) **OLD**
Gi1/18,Vlan924_Portabilidad
Gi1/19,ESU_4
Gi1/20,STPB_27_98
Gi1/21,To-Orion-3G-182.68
Gi1/22,To-Orion-3G-182.69
Gi1/23,3rd_A_outside
Gi1/24,3rd_A_trunk
Gi1/25,NewOrion3GServer2
Gi1/26,PuertoError
Gi1/27,"""To-FW-Primario"""
Gi1/28,Switch_ALU_Sala_Arquimides
Gi1/29,DCN_GDL
Gi1/30,VPN_ASA5585_A
Gi1/31,Manager_1
Gi1/32,"""Conexion RFN"""
Gi1/33,IGWB_GMSC_Expansion_A
Gi1/34,SMSC_MGMT
Gi1/35,to PD_CATA_11/27
Gi1/36,EIU
Gi1/37,
Gi1/38,STPB_27_66
Gi1/39,To-DB-SRV-Orion-3G-182.72
Gi1/40,OMC-R Primary E0
Gi1/41,OMC-R Secundary 1 E0
Gi1/42,To-DB-SRV-Orion-3G-182.73
Gi1/43,
Gi1/44,DCN_sala_morada
Gi1/45,Storage Server
Gi1/46,MG3_description R4_OAM_Sh1_S7_P1
Gi1/47,ALU FEPs
Gi1/48,ALU FEPs
Gi2/1,"""port jodido"""
Gi2/2,STP_A_27_3
Gi2/3,SetMachine
Gi2/4,Vlan825_Portabilidad
Gi2/5,FRU1
Gi2/6,STPB_27_68
Gi2/7,DropBoxNortel
Gi2/8,ALU_EXTERNAL_GGSN
Gi2/9,Billing_server1_Softswitch LDN
Gi2/10,Prov_Serv_MSO_A
Gi2/11,Internal ICC Server
Gi2/12,Xyplex
Gi2/13,NGOMC-R_Laptop Motorola
Gi2/14,Secure Tekelec Server
Gi2/15,3524_TLA_182_16
Gi2/16,Work Station NOC-10.103.182.28-
Gi2/17,Billing SDM
Gi2/18,
Gi2/19,mexsumdr02 ILO
Gi2/20,Conexion al iSG0
Gi2/21,
Gi2/22,
Gi2/23,3rd_A_inside
Gi2/24,
Gi2/25,
Gi2/26,2950ND
Gi2/27,ESU_1
Gi2/28,To-MXTLAM01RTCOREIPS01
Gi2/28.30,To-MXTLAM01RTCOREIPS01
Gi2/29,NETSYSTEM
Gi2/30,NETSYSTEM
Gi2/31,ATS_STS2_GTW 0
Gi2/32,ATS_STS2_GTW 1
Gi2/33,IGWB_GMSC_Expansion_A
Gi2/34,NGOMC-R Switch
Gi2/35,to IPS-E8160E-1-G10/1/3
Gi2/35.1,Nextel_Signal to IPS-E8160E-1
Gi2/35.2,Nextel_O & M to IPS-E8160E-1
Gi2/35.3,Nextel_Voice to IPS-E8160E-1
Gi2/35.4,Nextel_ BusinessHall&billing to IPS-E8160E-1
Gi2/36,Conexion al iSG0
Gi2/37,
Gi2/38,"""Router_SSP_Admin"""
Gi2/39,
Gi2/40,Conexion al iSG1
Gi2/41,OMC-R Secundary 1 ALOM
Gi2/42,R4_MGW_OAM_Sh1_CP3
Gi2/43,R4_NetGuardian
Gi2/44,Printer OMC-R
Gi2/45,MSC3_CO
Gi2/46,StoreEdge C4
Gi2/47,TO NEXTEL-P-SW01 PTO G1/0/47
Gi2/48,TO NEXTEL-P-SW01 PTO G1/0/48
Gi3/1,TO IT VSS1 PTO 1/4/14 (inside FWSM)
Gi3/2,
Gi3/3,
Gi3/4,TerminalNETBOSS
Gi3/5,new_STPB_27_68
Gi3/6,OAP
Gi3/7,
Gi3/8,3COMSentinel
Gi3/9,SwitchMartis
Gi3/10,TS_IOLAN
Gi3/11,Internal ICC Server
Gi3/12,
Gi3/13,
Gi3/14,SigtranA_sw1_Softswitch
Gi3/15,
Gi3/16,Trunk sw1 O&M_Softswitch
Gi3/17,ALU_EXTERNAL_GGSN
Gi3/18,Billing_server1_Softswitch
Gi3/19,"""ICM_Router_222_100"""
Gi3/20,SSGNortel
Gi3/21,ServBilling
Gi3/22,Puerto de Pruebas
Gi3/23,
Gi3/24,MEXCOTLC3750_182_28 AGPS
Gi3/25,SW_RDTA_3750_187_4
Gi3/26,2950ND
Gi3/27,
Gi3/28,MNGT_F5_VIPRION_A
Gi3/29,Ceragaon
Gi3/30,Server_1
Gi3/31,
Gi3/32,"""Echo canceller """
Gi3/33,F5_ifun_A
Gi3/34,NEW_EIU
Gi3/35,R4_MGW_OAM_Sh2_CP3
Gi3/36,IHLR-LAB_A_ee0
Gi3/37,IHLR-LAB_B_ee0
Gi3/38,
Gi3/39,
Gi3/40,IGWB 207.09.08.A
Gi3/41,MSC3_OAM
Gi3/42,MSC3_OAM
Gi3/43,iGW_DNS_A_mgmt
Gi3/44,
Gi3/45,GMSC TLA
Gi3/46,BlackBox 0
Gi3/47,
Gi3/48,
Gi4/1,3524_TLA_182_10
Gi4/2,3524_TLA_182_13
Gi4/3,3524_TLA_183_194
Gi4/4,MEXCOTLC3750_182_6
Gi4/5,to_3B
Gi4/6,To Switch 3550_TLA_182_17
Gi4/7,Switch_ALU_Sala_Arquimides_Conex_Fibra
Gi4/8,
Gi4/9,
Gi4/10,
Gi4/11,
Gi4/12,
Gi4/13,
Gi4/14,
Gi4/15,
