interface_mac_table,interface,vlan,mac address,address,description
Switch, ,606,3333.0000.0001, , 
Switch, ,607,3333.0000.0001, , 
Switch, ,604,3333.0000.0001, , 
Switch, ,603,3333.0000.0001, , 
Switch, ,600,3333.0000.0001, , 
Switch, ,601,3333.0000.0001, , 
Gi4/2, ,960,0010.e020.c8e6, , 
Switch, ,590,3333.0000.0001, , 
Switch, ,585,3333.0000.0001, , 
Switch, ,580,3333.0000.0001, , 
Gi4/2, ,806,2c44.fd81.0fb8, , 
Po1, ,928,0000.170c.fbcc, , 
Switch, ,632,3333.0000.0001, , 
Switch, ,633,3333.0000.0001, , 
Gi4/1, ,960,0003.6bbd.a160, , 
Switch, ,635,3333.0000.0001, , 
Switch, ,628,3333.0000.0001, , 
Switch, ,630,3333.0000.0001, , 
Switch, ,631,3333.0000.0001, , 
Switch, ,624,3333.0000.0001, , 
Switch, ,625,3333.0000.0001, , 
Switch, ,626,3333.0000.0001, , 
Switch, ,627,3333.0000.0001, , 
Switch, ,623,3333.0000.0001, , 
Switch, ,617,3333.0000.0001, , 
Switch, ,616,3333.0000.0001, , 
Switch, ,619,3333.0000.0001, , 
Switch, ,612,3333.0000.0001, , 
Switch, ,615,3333.0000.0001, , 
Switch, ,614,3333.0000.0001, , 
Switch, ,608,3333.0000.0001, , 
Switch, ,611,3333.0000.0001, , 
Switch, ,610,3333.0000.0001, , 
Gi4/5, ,960,f0b2.e58f.1d44, , 
Gi3/26, ,101,0080.6781.aed3, , 
Gi1/19, ,630,001b.d504.1598, , 
Gi1/22, ,960,80c1.6e22.d850, , 
Gi2/27, ,619,0014.6a57.a458, , 
Po1, ,867,3cdf.1e8f.c300, , 
Po1, ,871,3cdf.1e8f.c300, , 
Po1, ,870,3cdf.1e8f.c300, , 
Po1, ,872,3cdf.1e8f.c300, , 
Po1, ,877,3cdf.1e8f.c300, , 
Po1, ,876,3cdf.1e8f.c300, , 
Po1, ,885,3cdf.1e8f.c300, , 
Po1, ,929,0000.170c.fbce, , 
Po1, ,890,3cdf.1e8f.c300, , 
Switch, ,187,3333.0000.0016, , 
Po1, ,891,3cdf.1e8f.c300, , 
Switch, ,188,3333.0000.0016, , 
Switch, ,129,3333.0000.0016, , 
Switch, ,128,3333.0000.0016, , 
Gi3/14, ,697,000f.e2bd.1609, , 
Po1, ,855,0024.c417.dfc0, , 
Po1, ,862,3cdf.1e8f.c300, , 
Po1, ,861,3cdf.1e8f.c300, , 
Router, ,885,0000.0c07.ac01, , 
Gi4/5, ,960,a08c.fd9c.5ec3, , 
Gi4/5, ,960,a81e.843c.2015, , 
Router, ,891,0000.0c07.ac01, , 
Gi4/2, ,868,b4b5.2f53.0228, , 
Router, ,871,0000.0c07.ac01, , 
Router, ,870,0000.0c07.ac01, , 
Router, ,867,0000.0c07.ac01, , 
Po1, ,960,0003.bae2.f817, , 
Router, ,877,0000.0c07.ac01, , 
Router, ,876,0000.0c07.ac01, , 
